,round_epochs,val_loss,val_acc,val_custom_iou,loss,acc,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,optimizer,shapes
28,100,0.07716443915577496,0.9681372432147756,0.7743566562147701,0.1017067436786259,0.9591817382503959,0.7262845553603827,<function relu at 0x0000019528529730>,16,0.3,100,512,6,adam,triangle
29,100,0.07906651905938691,0.9652149221476387,0.772177539619745,0.10304004165763948,0.9560944513947356,0.7335105316311705,<function relu at 0x0000019528529730>,16,0.3,100,512,6,rmsprop,triangle
30,100,0.14236057126054577,0.9385369478487501,0.5823963015687232,0.14718666942972763,0.9396210277781767,0.5835306054236842,<function relu at 0x0000019528529730>,16,0.3,100,512,8,adam,triangle
31,57,0.1826704834021774,0.9253393610318502,0.48631632795520857,0.17732306883907786,0.9288508623254066,0.5116442491610845,<function relu at 0x0000019528529730>,16,0.3,100,512,8,rmsprop,triangle
32,50,0.02472000276925517,0.9903845892233007,0.9269710206517986,0.038430382406302525,0.9852705282323501,0.892825695813871,<function relu at 0x0000019528529730>,32,0.1,50,1024,6,adam,triangle
33,50,0.03082228130569645,0.9870851939799739,0.9178400553909003,0.037672917340316026,0.9846342182626912,0.9000315257147247,<function relu at 0x0000019528529730>,32,0.1,50,1024,6,rmsprop,triangle
34,50,0.09377274793737075,0.9596530736661425,0.723651064377205,0.10424200372368682,0.9558116407955394,0.6979088210592083,<function relu at 0x0000019528529730>,32,0.1,50,1024,8,adam,triangle
35,50,0.09198234361760757,0.9588046494652244,0.7396681250310412,0.10073559051927398,0.9550574901057225,0.7187706606060851,<function relu at 0x0000019528529730>,32,0.1,50,1024,8,rmsprop,triangle
36,50,0.023803777079664024,0.9909502022406634,0.9261223042712492,0.038214369768313335,0.9846106452100417,0.8881908024058622,<function relu at 0x0000019528529730>,32,0.1,50,512,6,adam,triangle
37,50,0.026125951286624458,0.9888762948559779,0.9238293907221626,0.03844924444588376,0.9845399470890269,0.8958662105541603,<function relu at 0x0000019528529730>,32,0.1,50,512,6,rmsprop,triangle
38,50,0.08511190467021044,0.9636123601128074,0.7480376222554375,0.09886537273140515,0.9594645441747179,0.7206712949509714,<function relu at 0x0000019528529730>,32,0.1,50,512,8,adam,triangle
39,50,0.11340753836374656,0.9547511280751696,0.6881742021616768,0.1144614665239465,0.949825595406925,0.6689180603214339,<function relu at 0x0000019528529730>,32,0.1,50,512,8,rmsprop,triangle
40,100,0.004247629631529836,0.9985859674565932,0.9849311744465548,0.013332365386589778,0.9955222314479304,0.963843374860053,<function relu at 0x0000019528529730>,32,0.1,100,1024,6,adam,triangle
41,92,0.008543804762702362,0.998020353270512,0.982478070492838,0.0165937705348958,0.9946973802996617,0.9620887450143403,<function relu at 0x0000019528529730>,32,0.1,100,1024,6,rmsprop,triangle
42,100,0.046729978100926266,0.979449450969696,0.85376257054946,0.05740587296439152,0.9759615274036632,0.8387109111337101,<function relu at 0x0000019528529730>,32,0.1,100,1024,8,adam,triangle
43,100,0.058898950762608475,0.9789781184757457,0.8602149544977674,0.06627162012691591,0.9745474936915379,0.8402153872976116,<function relu at 0x0000019528529730>,32,0.1,100,1024,8,rmsprop,triangle
