round_epochs,val_loss,val_custom_iou,loss,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,optimizer,shapes
4,0.26621778747614694,0.2568272355140424,0.2501349694588605,0.29477659393759337,relu,64,0.1,20,256,6,sigmoid,0.001,Adam,triangle
20,0.6082302238426956,0.1418132101203881,0.6120398932812261,0.14194221151810066,relu,64,0.1,20,256,6,sigmoid,0.001,SGD,brick
20,0.6255920786483615,0.1407968144790799,0.628279516509935,0.1410763772094951,relu,64,0.1,20,256,6,sigmoid,0.001,SGD,triangle
7,0.438042551279068,0.3397730962902892,0.06501616449917064,0.7463121110317754,relu,64,0.1,50,512,2,sigmoid,0.001,Adam,brick
8,0.41627651978941527,0.3341219068742266,0.06929382930199306,0.7208982472326241,relu,64,0.1,50,512,2,sigmoid,0.001,Adam,triangle
50,0.2841314749390471,0.22207845192329556,0.28608572599934595,0.22188677419634426,relu,64,0.1,50,512,2,sigmoid,0.001,SGD,brick
50,0.2786308883451948,0.2285466109420739,0.28123682386734905,0.22823722689759499,relu,64,0.1,50,512,2,sigmoid,0.001,SGD,triangle
9,0.3935021518492231,0.29475436900176255,0.11929801340196647,0.6271551707211662,relu,64,0.1,50,512,4,sigmoid,0.001,Adam,brick
7,0.3259247792702095,0.30436277915449705,0.16923992803283766,0.4797978611553417,relu,64,0.1,50,512,4,sigmoid,0.001,Adam,triangle
50,0.26798124406851975,0.25507916626976984,0.26983102337986814,0.2549447820467107,relu,64,0.1,50,512,4,sigmoid,0.001,SGD,brick
50,0.27211669204281824,0.238540807483243,0.2769318012630238,0.23572630771234923,relu,64,0.1,50,512,4,sigmoid,0.001,SGD,triangle
6,0.26651254997533913,0.27847223422106576,0.23764832405483022,0.33201517077053294,relu,64,0.1,50,512,6,sigmoid,0.001,Adam,brick
7,0.28323061384406745,0.26934709034714044,0.21714093842927149,0.37749044275751303,relu,64,0.1,50,512,6,sigmoid,0.001,Adam,triangle
50,0.2658771317379147,0.25929948833643224,0.26856088521433813,0.25762006874177973,relu,64,0.1,50,512,6,sigmoid,0.001,SGD,brick
50,0.26821089316816893,0.2531660488423179,0.2715013190811756,0.2517492373784383,relu,64,0.1,50,512,6,sigmoid,0.001,SGD,triangle
8,0.3925517113769756,0.32818250445758596,0.08479811996221542,0.6670234179964253,relu,64,0.1,50,256,2,sigmoid,0.001,Adam,brick
8,0.32422177289046494,0.30862269214555327,0.12429030064274282,0.5449033753544676,relu,64,0.1,50,256,2,sigmoid,0.001,Adam,triangle
50,0.2839735448360443,0.22151331545091144,0.28759414308211384,0.22034255897297578,relu,64,0.1,50,256,2,sigmoid,0.001,SGD,brick
50,0.3041590668407141,0.20618727774012321,0.31029798528727365,0.20495123956717698,relu,64,0.1,50,256,2,sigmoid,0.001,SGD,triangle
7,0.28404048318956415,0.29138041243833657,0.2155931118656607,0.36813727079653275,relu,64,0.1,50,256,4,sigmoid,0.001,Adam,brick
8,0.3043404794206806,0.2925027889363906,0.1913339183026669,0.42801481251623114,relu,64,0.1,50,256,4,sigmoid,0.001,Adam,triangle
50,0.26885029322960796,0.2515448007513495,0.27296087847036477,0.24969586730003357,relu,64,0.1,50,256,4,sigmoid,0.001,SGD,brick
50,0.3045106769776812,0.20368602199881686,0.3120750247263441,0.20205168513690724,relu,64,0.1,50,256,4,sigmoid,0.001,SGD,triangle
8,0.26686171398443337,0.2774655351451799,0.2352562260394003,0.33553384448967727,relu,64,0.1,50,256,6,sigmoid,0.001,Adam,brick
7,0.2696632222802031,0.2662433502720852,0.23802206913630167,0.3252503176530202,relu,64,0.1,50,256,6,sigmoid,0.001,Adam,triangle
50,0.3073228901507808,0.20114989841685577,0.31652455470141244,0.19801064419980144,relu,64,0.1,50,256,6,sigmoid,0.001,SGD,brick
50,0.31146346120273366,0.19735103027493345,0.32230040255714865,0.19331808563540964,relu,64,0.1,50,256,6,sigmoid,0.001,SGD,triangle
11,0.6321526894382402,0.35909557400965225,0.014067935081673604,0.9380933350207759,relu,64,0.1,80,512,2,sigmoid,0.001,Adam,brick
11,0.5902122551319646,0.34394274213734793,0.023480997293018828,0.8959812521934509,relu,64,0.1,80,512,2,sigmoid,0.001,Adam,triangle
80,0.2660236130742466,0.2597360771660711,0.2656979175174938,0.26178772601426814,relu,64,0.1,80,512,2,sigmoid,0.001,SGD,brick
80,0.26665183434299394,0.2580256204979092,0.26766135470539915,0.25959212289137,relu,64,0.1,80,512,2,sigmoid,0.001,SGD,triangle
11,0.49579837742973776,0.31600073914901883,0.08114898993688471,0.7470366370444205,relu,64,0.1,80,512,4,sigmoid,0.001,Adam,brick
12,0.5396622723224116,0.33179955914908765,0.0731830894947052,0.7666869759559631,relu,64,0.1,80,512,4,sigmoid,0.001,Adam,triangle
80,0.2635366513448603,0.2629508081020093,0.2654246559330061,0.2631700126563801,relu,64,0.1,80,512,4,sigmoid,0.001,SGD,brick
80,0.26351218422253925,0.26277168562599257,0.2658405566916746,0.26351891370380626,relu,64,0.1,80,512,4,sigmoid,0.001,SGD,triangle
11,0.3119320851915023,0.3016694065402536,0.17151845494906107,0.48701179436608855,relu,64,0.1,80,512,6,sigmoid,0.001,Adam,brick
11,0.3113798072525099,0.2818353041714313,0.17475538394030402,0.4841785991893095,relu,64,0.1,80,512,6,sigmoid,0.001,Adam,triangle
80,0.2629812909107582,0.2641342895872453,0.2648320741513196,0.26408467456406237,relu,64,0.1,80,512,6,sigmoid,0.001,SGD,brick
80,0.26338376659972995,0.26332014740682114,0.2669964371358647,0.26346765020314383,relu,64,0.1,80,512,6,sigmoid,0.001,SGD,triangle
11,0.5466911769380757,0.3488418477423051,0.03175106973332517,0.864369132939507,relu,64,0.1,80,256,2,sigmoid,0.001,Adam,brick
11,0.44184304277102154,0.34120240924405115,0.06329557065870248,0.7456098420947206,relu,64,0.1,80,256,2,sigmoid,0.001,Adam,triangle
80,0.26748061764474007,0.2579569465973798,0.26853260514782923,0.2600168054010354,relu,64,0.1,80,256,2,sigmoid,0.001,SGD,brick
80,0.26687054599032684,0.2580292178135292,0.27183060961611133,0.2584932884749244,relu,64,0.1,80,256,2,sigmoid,0.001,SGD,triangle
10,0.4120816968235315,0.30790389460675854,0.12337579943385779,0.6069259246190389,relu,64,0.1,80,256,4,sigmoid,0.001,Adam,brick
11,0.4142324836815105,0.3125842523341085,0.11987859799581416,0.6080531641548755,relu,64,0.1,80,256,4,sigmoid,0.001,Adam,triangle
80,0.26506055277936597,0.2616400838482614,0.26732485259280486,0.26243790691974117,relu,64,0.1,80,256,4,sigmoid,0.001,SGD,brick
80,0.2640240665744333,0.2627657821365431,0.26963556192669214,0.26057124021006567,relu,64,0.1,80,256,4,sigmoid,0.001,SGD,triangle
10,0.27858186118743,0.2885223819929011,0.21544376015663147,0.37450147084161345,relu,64,0.1,80,256,6,sigmoid,0.001,Adam,brick
12,0.3459815979003906,0.2931215646220188,0.1613118566718756,0.5055390911943772,relu,64,0.1,80,256,6,sigmoid,0.001,Adam,triangle
80,0.26396314127772463,0.2644534391515395,0.26781753114625517,0.26207681380066217,relu,64,0.1,80,256,6,sigmoid,0.001,SGD,brick
80,0.26354053733395594,0.26407057572813597,0.2677661490206625,0.2630868139220219,relu,64,0.1,80,256,6,sigmoid,0.001,SGD,triangle
3,0.26466843076780733,0.2754042136902903,0.2410066197900211,0.30572927348753987,relu,64,0.25,20,512,2,sigmoid,0.001,Adam,brick
6,0.2987174572897892,0.3145960183704601,0.16173988230088177,0.45994553729599597,relu,64,0.25,20,512,2,sigmoid,0.001,Adam,triangle
20,0.5763286843019373,0.14328324882423177,0.5814997168148265,0.14334884052183114,relu,64,0.25,20,512,2,sigmoid,0.001,SGD,brick
20,0.6064920799404967,0.14233993578190898,0.6101379604900584,0.1425338416707282,relu,64,0.25,20,512,2,sigmoid,0.001,SGD,triangle
6,0.29802897397209616,0.2798584863251331,0.2003923414968977,0.4159475453928405,relu,64,0.25,20,512,4,sigmoid,0.001,Adam,brick
5,0.26758191164802103,0.2602618985316333,0.24035759737678603,0.3182906087707071,relu,64,0.25,20,512,4,sigmoid,0.001,Adam,triangle
20,0.5962529638234306,0.14296623100252712,0.6016397335950066,0.14282089939304426,relu,64,0.25,20,512,4,sigmoid,0.001,SGD,brick
20,0.6021966571901359,0.14294447735244153,0.6059026484395943,0.14315896758846208,relu,64,0.25,20,512,4,sigmoid,0.001,SGD,triangle
7,0.2667880221909168,0.27237792400752797,0.23829972101192848,0.33116239075567205,relu,64,0.25,20,512,6,sigmoid,0.001,Adam,brick
3,0.2713702677511701,0.23901203712996313,0.2563946729197222,0.2907338785190208,relu,64,0.25,20,512,6,sigmoid,0.001,Adam,triangle
20,0.6014465058551115,0.14262797464342677,0.605139392263749,0.14269354764152975,relu,64,0.25,20,512,6,sigmoid,0.001,SGD,brick
20,0.6063135289678386,0.1419739623864492,0.610285200324713,0.1420041959659726,relu,64,0.25,20,512,6,sigmoid,0.001,SGD,triangle
5,0.2659953452792822,0.2880443112522948,0.217894047498703,0.34015637402440985,relu,64,0.25,20,256,2,sigmoid,0.001,Adam,brick
6,0.26807990319588604,0.2877664922499189,0.21528159461769403,0.34452098198965486,relu,64,0.25,20,256,2,sigmoid,0.001,Adam,triangle
20,0.5927747850324593,0.14273479785404952,0.5975858428898979,0.14272604853499168,relu,64,0.25,20,256,2,sigmoid,0.001,SGD,brick
20,0.6331750797290429,0.1405102923220279,0.636001706123352,0.1406752426250308,relu,64,0.25,20,256,2,sigmoid,0.001,SGD,triangle
4,0.26518620638286367,0.2717604911794849,0.2484929736922769,0.3051029297651029,relu,64,0.25,20,256,4,sigmoid,0.001,Adam,brick
5,0.2666974681265214,0.25629657740686457,0.24834382884642658,0.30398085304335054,relu,64,0.25,20,256,4,sigmoid,0.001,Adam,triangle
20,0.6016349032813427,0.1420497458939459,0.6062851022271549,0.14194261793996774,relu,64,0.25,20,256,4,sigmoid,0.001,SGD,brick
20,0.5908858670907862,0.1430686966461294,0.5963593207153619,0.14301197902829038,relu,64,0.25,20,256,4,sigmoid,0.001,SGD,triangle
5,0.26555300635450024,0.2748955926474403,0.24661101108672573,0.3116932990504246,relu,64,0.25,20,256,6,sigmoid,0.001,Adam,brick
4,0.2835382947734758,0.22599739070032157,0.25558016054770527,0.29320257317786125,relu,64,0.25,20,256,6,sigmoid,0.001,Adam,triangle
20,0.6016437598303253,0.14294517975227505,0.6064792801352108,0.14281715569542905,relu,64,0.25,20,256,6,sigmoid,0.001,SGD,brick
20,0.6228473256616032,0.14116167233270757,0.6258104011124256,0.14137130391364003,relu,64,0.25,20,256,6,sigmoid,0.001,SGD,triangle
7,0.3770952370821261,0.3289431105641758,0.09530937028866188,0.6556180972678989,relu,64,0.25,50,512,2,sigmoid,0.001,Adam,brick
8,0.3789899559581981,0.3292604427711636,0.09300186558097016,0.6549523764965581,relu,64,0.25,50,512,2,sigmoid,0.001,Adam,triangle
50,0.2763143392170177,0.23331775384790757,0.27915603389926985,0.23296144020323659,relu,64,0.25,50,512,2,sigmoid,0.001,SGD,brick
50,0.29448212186495465,0.2108417915947297,0.302149879581788,0.2096786411369548,relu,64,0.25,50,512,2,sigmoid,0.001,SGD,triangle
7,0.28968392166436885,0.28695643240330265,0.18991275949805392,0.45162531791948807,relu,64,0.25,50,512,4,sigmoid,0.001,Adam,brick
8,0.30168358075852486,0.2905571343852024,0.20033448583939495,0.4069733888495202,relu,64,0.25,50,512,4,sigmoid,0.001,Adam,triangle
50,0.2722468796898337,0.24350494964450015,0.27949612689953224,0.2412551442782084,relu,64,0.25,50,512,4,sigmoid,0.001,SGD,brick
